류,번호,표제,품명
28,2837,시안화물,시안화물·산화시안화물·시안착염
28,2839,규산염,규산염과 상관습(商慣習)상의 알칼리금속의 규산염
28,2840,붕산염,붕산염과 과산화붕산염(과붕산염)
28,2841,산화금속산염,산화금속산염이나 과산화금속산염
28,2842,기타 무기산염,"그 밖의 무기산염이나 과산화산염[알루미노실리케이트(화학적으로 단일한 것인지에 상관없다)를 포함하며, 아지드화물은 제외한다]"
28,제6절 기타,,
28,2843,귀금속화합물,"콜로이드 귀금속, 귀금속의 무기화합물이나 유기화합물(화학적으로 단일한 화합물인지에 상관없다), 귀금속의 아말감(amalgam)"
28,2844,방사성원소,"방사성원소·방사성동위원소(핵분열성이나 연료핵친원소와 동위원소를 포함한다)와 이들의 화합물, 이들의 물품을 함유한 혼합물과 잔재물"
28,2845,동위원소,동위원소(제2844호의 것은 제외한다)와 그 동위원소의 무기화합물이나 유기화합물(화학적으로 단일한 것인지에 상관없다)
28,2846,희토류금속,희토류(稀土類)금속·이트륨·스칸듐이나 이들 금속혼합물의 무기·유기 화합물
28,2847,과산화수소,과산화수소(요소로 고체화한 것인지에 상관없다)
28,2849,탄화물,탄화물(화학적으로 단일한 것인지에 상관없다)
28,2850,수소화물,수소화물·질화물·아지드화물·규화물·붕화물(화학적으로 단일한 것인지에 상관없으며 제2849호의 탄화물은 제외한다)
28,2852,수은화합물,무기나 유기의 수은화합물[화학적으로 단일한 것인지에 상관없으며 아말감(amalgam)은 제외한다]
28,2853,기타 무기화합물,"인화물(燐化物)(화학적으로 단일한 것인지에 상관없으며 인철은 제외한다), 그 밖의 무기화합물[증류수나 전도도수(傳導度水)와 이와 유사한 순도의 물을 포함한다], 액체 공기[희가스(rare gas)가 제거된 것인지에 상관없다], 압축 공기, 아말감(amalgam)[귀금속의 아말감(amalgam)은 제외한다]"
29,제1절 탄화수소와 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체,,
29,2901,비환식탄화수소,비환식탄화수소
29,2902,환식탄화수소,환식탄화수소
29,2903,탄화수소의 할로겐화유도체,탄화수소의 할로겐화 유도체
29,2904,탄화수소의 기타유도체,탄화수소의 술폰화유도체·니트로화유도체나 니트로소화유도체(할로겐화된 것인지에 상관없다)
29,제2절 알코올과 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체,,
29,2905,비환식알콜,비환식알코올과 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체
29,2906,환식알콜,환식알코올과 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체
29,제3절 페놀·페놀알코올과 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체,,
29,2907,페놀·페놀알콜,페놀과 페놀알코올
29,2908,페놀·페놀알콜의 유도체,페놀이나 페놀알코올의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체
29,제4절 에테르·과산화알코올·과산화에테르·과산화아세탈과 과산화헤미아세탈·과산화케톤·3원고리의 에폭시드·아세탈·헤미아세탈과 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체,,
29,2909,에테르,에테르·에테르알코올·에테르페놀·에테르알코올페놀·과산화알코올·과산화에테르·과산화아세탈과 과산화헤미아세탈·과산화케톤(화학적으로 단일한 것인지에 상관없다)과 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체
29,2910,3원고리의 에폭시드,3원고리의 에폭시드·에폭시알코올·에폭시페놀·에폭시에테르와 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체
29,2911,아세탈,아세탈·헤미아세탈(그 밖의 산소관능 결합을 한 것인지에 상관없다)과 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체
29,제5절 알데히드관능화합물,,
29,2912,알데히드,"알데히드(그 밖의 산소관능 결합을 한 것인지에 상관없다), 알데히드의 환식중합체, 파라포름알데히드"
29,2913,알데히드의 유도체,제2912호의 물품의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체
29,제6절 케톤관능화합물과 퀴논관능화합물,,
29,2914,케톤 및 퀴논,케톤·퀴논(그 밖의 산소관능 결합을 한 것인지에 상관없다)과 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체
29,"제7절 카르복시산과 이들의 무수물(無水物)·할로겐화물·과산화물·과산화산, 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체",,
29,2915,포화비환식모노카르복시산,"포화비환식모노카르복시산과 이들의 무수물(無水物)·할로겐화물·과산화물·과산화산, 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체"
29,2916,기타 모노카르복시산,"불포화비환식모노카르복시산·환식모노카르복시산과 이들의 무수물(無水物)·할로겐화물·과산화물·과산화산, 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체"
29,2917,폴리카르복시산,"폴리카르복시산과 이들의 무수물(無水物)·할로겐화물·과산화물·과산화산, 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체"
29,2918,산소관능의 카르복시산,"추가 산소관능을 갖는 카르복시산과 이들의 무수물(無水物)·할로겐화물·과산화물·과산화산, 이들의 할로겐유도체·술폰화유도체·니트로화유도체·니트로소화유도체"
29,"제8절 비(非)금속 무기산의 에스테르와 이들의 염, 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체",,
29,2919,인산에스테르,"인산에스테르와 이들의 염(락토포스페이트를 포함한다), 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체"
29,2920,기타 무기산 에스테르,"그 밖의 비(非)금속 무기산의 에스테르(할로겐화수소의 에스테르는 제외한다)와 이들의 염, 이들의 할로겐화유도체·술폰화유도체·니트로화유도체·니트로소화유도체"
29,제9절 질소관능화합물,,
29,2921,아민관능화합물,아민관능화합물
29,2922,산소관능아미노화합물,산소관능아미노화합물
29,2923,제4암모늄염,"제4암모늄염과 수산화 제4암모늄, 레시틴과 그 밖의 포스포아미노리피드(화학적으로 단일한 것인지에 상관없다)"
29,2924,카르복시아미드관능화합물,"카르복시 아미드관능화합물, 탄산의 아미드관능화합물"
29,2925,카르복시이미드관능화합물,카르복시이미드 관능화합물(사카린과 그 염을 포함한다)과 이민관능화합물
29,2926,니트릴관능화합물,니트릴관능화합물
29,2927,디아조화합물,디아조화합물·아조화합물·아족시화합물
29,2928,히드라진,히드라진·히드록실아민의 유기 유도체
29,2929,기타 질소관능화합물,그 밖의 질소관능화합물
29,"제10절 유기-무기화합물·헤테로고리화합물·핵산과 이들의 염, 술폰아미드",,
29,2930,유기-황 화합물,유기-황 화합물
29,2931,기타 유기-무기화합물,그 밖의 유기-무기화합물
29,2932,산소헤테로고리 화합물,산소 원자만을 함유한 헤테로고리 화합물
29,2933,질소헤테로고리 화합물,질소 원자만을 함유한 헤테로고리 화합물
29,2934,기타헤테로고리 화합물,"핵산과 이들의 염(화학적으로 단일한 것인지에 상관없다), 그 밖의 헤테로고리 화합물"
29,2935,술폰아미드,술폰아미드
29,제11절 프로비타민·비타민·호르몬,,
29,2936,비타민,"프로비타민과 비타민(천연의 것과 이와 동일한 구조를 가지는 합성의 것으로 한정하며, 천연의 프로비타민 농축물과 비타민 농축물을 포함한다), 이들의 유도체로서 주로 비타민으로 사용하는 것과 이들의 상호 혼합물(용매에 용해하였는지에 상관없다)"
29,2937,호르몬,"호르몬·프로스타글란딘·트롬복산·류코트리엔(천연의 것과 이와 동일한 구조를 가지는 합성의 것으로 한정한다), 이들의 유도체와 이와 유사한 구조를 가지는 것으로서 주로 호르몬으로 사용되는 것(변성된 폴리펩타이드 체인을 가진 것을 포함한다)"
29,"제12절 글리코시드와 알칼로이드(천연의 것과 이와 동일한 구조를 가지는 합성의 것으로 한정한다), 이들의 염·에테르·에스테르·그 밖의 유도체",,
29,2938,글리코시드,"글리코시드(천연의 것과 이와 동일한 구조를 가지는 합성의 것으로 한정한다), 이들의 염·에테르·에스테르·그 밖의 유도체"
29,2939,알칼로이드,"알칼로이드(천연의 것과 이와 동일한 구조를 가지는 합성의 것으로 한정한다), 이들의 염·에테르·에스테르·그 밖의 유도체"
29,제13절 그 밖의 유기화합물,,
29,2940,당류,"당류(화학적으로 순수한 것으로 한정하며, 자당·유당·맥아당·포도당·과당은 제외한다), 당에테르·당아세탈·당에스테르와 이들의 염(제2937호·제2938호·제2939호의 물품은 제외한다)"
29,2941,항생물질,항생물질
29,2942,기타 유기화합물,그 밖의 유기화합물
30,3001,장기요법용의 선과 기관,"장기(臟器) 요법용 선(腺)과 그 밖의 기관(건조한 것으로 한정하며, 가루로 된 것인지에 상관없다), 선(腺)과 그 밖의 기관이나 이들의 분비물의 추출물로서 장기(臟器) 요법용의 것, 헤파린과 그 염, 치료용·예방용으로 조제한 그 밖의 인체물질이나 동물의 물질로서 따로 분류되지 않은 것"
30,3002,인혈·수혈·백신,"사람의 피, 치료용·예방용·진단용으로 조제한 동물의 피, 면역혈청·그 밖의 혈액 분획물과 면역물품(생물공학적 방법에 따라 변성되거나 얻어진 것인지에 상관없다), 백신·독소·미생물 배양체(효모는 제외한다)와 이와 유사한 물품, 세포 배양체(변성된 것인지에 상관없다)"
30,3003,혼합의약품,"의약품(두 가지 이상의 성분을 혼합한 치료용이나 예방용의 것으로서 제3002호·제3005호·제3006호의 물품, 일정한 투여량으로 한 것, 소매용 모양이나 포장을 한 것은 제외한다)"
30,3004,소매의약품,"의약품[혼합한 것인지에 상관없으며 치료용이나 예방용의 것으로서 일정한 투여량으로 한 것(피부 투여의 형식을 취한 것을 포함한다)과 소매용 모양이나 포장을 한 것으로 한정하며, 제3002호·제3005호·제3006호의 물품은 제외한다]"
30,3005,탈지면·거즈·붕대,탈지면·거즈·붕대와 이와 유사한 제품(예: 피복재·반창고·습포제)으로서 내과용·외과용·치과용·수의과용으로 사용하기 위하여 의료물질을 도포하거나 침투시킨 것이나 소매용 모양이나 포장을 한 것
30,3006,의료용품,의료용품(이 류의 주 제4호의 물품으로 한정한다)
31,3101,동식물성비료,"동물성·식물성 비료(함께 혼합한 것인지 또는 화학적 처리를 한 것인지에 상관없다), 동물성·식물성 물품을 혼합하거나 화학적으로 처리한 비료"
31,3102,질소비료,질소비료(광물성 비료나 화학비료로 한정한다)
31,3103,인산비료,인산비료(광물성 비료나 화학비료로 한정한다)
31,3104,칼륨비료,칼륨비료(광물성 비료나 화학비료로 한정한다)
31,3105,복합비료,"광물성 비료나 화학비료(비료의 필수요소인 질소·인·칼륨 중 두 가지나 세 가지를 함유하는 것으로 한정한다), 그 밖의 비료, 이 류에 열거한 물품을 태블릿(tablet) 모양이나 이와 유사한 모양으로 한 것이거나 용기를 포함한 한 개의 총중량이 10킬로그램 이하로 포장한 것"
32,3201,식물성 유연제,"식물성 유연용 추출물(extract), 탄닌과 그 염·에테르·에스테르·그 밖의 유도체"
32,3202,합성·조제 유연제,"합성 유기유연제·무기유연제·조제 유연제(천연 유연제를 함유하였는지에 상관없다), 유연전(柔軟前) 처리용 효소계 조제품"
32,3203,동식물성 착색제,"식물성·동물성 착색제[화학적으로 단일한 것인지에 상관없으며, 염색용 추출물(extract)을 포함하고 수탄(獸炭)은 제외한다]와 이것을 기본 재료로 한 조제품(이 류의 주 제3호의 것으로 한정한다)"
32,3204,합성유기 착색제,"합성 유기착색제(화학적으로 단일한 것인지에 상관없다), 이것을 기본 재료로 한 조제품(이 류의 주 제3호의 것으로 한정한다), 형광증백제(螢光增白劑)나 루미노퍼(luminophore)로 사용되는 종류의 합성유기생산품(화학적으로 단일한 것인지에 상관없다)"
32,3205,레이크안료,레이크 안료와 이들을 기본 재료로 한 조제품(이 류의 주 제3호의 것으로 한정한다)
32,3206,기타 착색제,"그 밖의 착색제와 조제품(제3203호·제3204호·제3205호에 해당하는 물품은 제외하며, 이 류의 주 제3호의 것으로 한정한다), 루미노퍼(luminophore)로 사용되는 무기물(화학적으로 단일한 것인지에 상관없다)"
32,3207,요업·유리공업용 안료,"조제 안료·조제 유백제(乳白劑)·조제 그림물감·법랑·유약·유약용 슬립·액체 상태 러스터(lustre)와 이와 유사한 조제품(요업·에나멜공업·유리공업에 주로 사용되는 것으로 한정한다), 유리 프리트(frit)와 그 밖의 유리[가루·알갱이·플레이크(flake) 모양인 것으로 한정한다]"
32,3208,비수성 페인트,"페인트와 바니시(varnish)[에나멜·래커(lacquer)를 포함하며, 합성 중합체나 화학적으로 변성한 천연 중합체를 기본 재료로 하여 비수성(非水性) 매질(媒質)에 분산하거나 용해한 것으로 한정한다], 이 류의 주 제4호의 용액"
32,3209,수성 페인트,"페인트와 바니시(varnish)[에나멜과 래커(lacquer)를 포함하며, 합성 중합체나 화학적으로 변성한 천연 중합체를 기본 재료로 하여 수성(水性) 매질(媒質)에 분산하거나 용해한 것으로 한정한다]"
32,3210,기타 페인트,"그 밖의 페인트와 바니시(varnish)[에나멜·래커(lacquer)·디스템퍼(distemper)를 포함한다], 가죽의 완성가공용으로 사용하는 조제 수성안료"
32,3211,조제드라이어,조제 드라이어
32,3212,비수성안료·소매용염료,"비수성(非水性) 매질(媒質)에 분산시킨 안료[금속 가루·금속플레이크(flake)를 포함하며, 페인트·에나멜 제조에 사용되는 액체나 페이스트(paste) 상태인 것으로 한정한다], 스탬프용 박(箔), 소매용 모양이나 포장을 한 염료와 그 밖의 착색제"
32,3213,회구류,화가용·학생용·간판도장공용·색조 수정용·오락용 물감과 이와 유사한 물감[태블릿(tablet) 모양인 것·튜브들이·병들이·접시들이나 이와 유사한 모양이나 포장의 것으로 한정한다]
32,3214,퍼티,"유리 접합용 퍼티(putty)·접목용 퍼티(putty)·수지시멘트·코킹(caulking)화합물과 그 밖의 매스틱(mastic), 도장용 충전제, 건물의 외면·실내벽·마루·천장과 이와 유사한 장소에 사용되는 비내화성 표면처리제"
32,3215,잉크,인쇄용 잉크·필기용 잉크·제도용 잉크와 그 밖의 잉크(농축하거나 고체화한 것인지에 상관없다)
33,3301,정유,"정유(essential oil)[콘크리트(concrete)와 앱설루트(absolute)를 포함하며, 테르펜을 제거한 것인지에 상관없다], 레지노이드(resinoid), 추출한 올레오레진(oleoresin), 정유(essential oil)의 농축물[냉침법(冷浸法)이나 온침법(溫浸法)에 따라 얻은 것으로서 유지·불휘발성유·왁스나 이와 유사한 물질을 매질(媒質)로 한 것으로 한정한다], 정유(essential oil)에서 테르펜을 제거할 때 생기는 테르펜계 부산물, 정유(essential oil)의 애큐어스 디스틸레이트(aqueous distillate)와 애큐어스 솔루션(aqueous solution)"
33,3302,공업용·음료용 방향성조제품,"방향성(芳香性) 물질의 혼합물과 방향성(芳香性) 물질의 하나 이상을 기본 재료로 한 혼합물(알코올의 용액을 포함하며, 공업용 원료로 사용하는 것으로 한정한다), 방향성(芳香性) 물질을 기본 재료로 한 그 밖의 조제품(음료제조용으로 한정한다)"
33,3303,향수,향수와 화장수
33,3304,화장품,"미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류"
33,3305,두발용품,두발용 제품류
33,3306,구강용품,"구강·치과 위생용 제품류[치열 교정용 페이스트(paste)와 가루를 포함한다], 치간 청결용 실로서 개별 소매용으로 포장한 것[치실(dental floss)]"
33,3307,기타제품,면도용 제품류·인체용 탈취제·목욕용 조제품·탈모제와 그 밖의 조제향료·따로 분류되지 않은 화장품이나 화장용품·실내용 조제 탈취제(향을 첨가한 것인지 또는 살균성이 있는 것인지에 상관없다)
34,3401,비누,"비누, 비누로 사용되는 유기계면활성제품과 조제품[막대(bar) 모양·케이크 모양·주형 모양으로 된 것으로 한정하며, 비누를 함유한 것인지에 상관없다], 피부세척용 유기계면활성제품과 조제품(액체나 크림 형태의 소매용으로 한정하며, 비누를 함유한 것인지에 상관없다), 비누나 세제를 침투시키거나 도포한 종이·워딩(wadding)·펠트(felt)·부직포"
34,3402,계면활성제·조제세제,"유기계면활성제(비누는 제외한다), 조제 계면활성제·조제 세제(보조 조제 세제를 포함한다)·조제 청정제(비누를 함유한 것인지에 상관없으며 제3401호의 물품은 제외한다)"
34,3403,조제윤활유,"조제 윤활유[윤활제를 기본 재료로 한 조제 절삭제·볼트나 너트 방출제·방청제·부식방지제·이형(mould release) 조제품을 포함한다], 방직용 재료·가죽·모피나 그 밖의 재료의 오일링처리나 가지처리에 사용하는 조제품[석유나 역청유(瀝靑油)의 함유량이 전 중량의 100분의 70 이상인 것을 기본 재료로 한 조제품은 제외한다]"
34,3404,왁스,인조 왁스와 조제 왁스
34,3405,광택제,"신발용·가구용·마루용·차체(coachwork)용·유리용·금속용 광택제와 크림, 연마페이스트(paste)·연마가루와 이와 유사한 조제품[이러한 조제품을 침투시키거나 도포하거나 피복한 종이·워딩(wadding)·펠트(felt)·부직포·셀룰러 플라스틱·셀룰러 고무 형태의 것인지에 상관없다](제3404호의 왁스는 제외한다)"
34,3406,양초,양초와 이와 유사한 물품
34,3407,조형용·치과용조제품,"조형용 페이스트(paste)(아동 오락용을 포함한다), 치과용 왁스나 치과용 인상재료[세트로 된 것, 소매용으로 포장된 것, 판 모양·말굽 모양·막대(stick) 모양이나 이와 유사한 모양의 것으로 한정한다], 플라스터(plaster)(소석고나 황산칼슘으로 만든 것으로 한정한다)를 기본 재료로 한 그 밖의 치과용 조제품"
35,3501,카세인,"카세인(casein)·카세인산염(caseinate)과 그 밖의 카세인(casein) 유도체, 카세인 글루(casein glue)"
35,3502,알부민,알부민(건조물 상태에서 계산한 유장단백질의 함유량이 전 중량의 100분의 80을 초과하는 둘 이상의 유장단백질의 농축물을 포함한다)·알부민산염과 그 밖의 알부민 유도체
35,3503,젤라틴,"젤라틴[직사각형(정사각형의 것을 포함한다) 시트(sheet) 모양인 것을 포함하며, 표면가공이나 착색한 것인지에 상관없다]과 젤라틴 유도체, 아이징글라스(isinglass), 그 밖의 동물성 글루(glue)[제3501호의 카세인 글루(casein glue)는 제외한다]"
35,3504,기타 단백질,"펩톤(peptone)과 이들의 유도체, 그 밖의 단백질계 물질과 이들의 유도체(따로 분류되지 않은 것으로 한정한다), 하이드파우더(hide powder)(크롬명반을 첨가한 것인지에 상관없다)"
35,3505,변성전분,"덱스트린과 그 밖의 변성전분[예: 프리젤라티나이지드(pregelatinised) 전분이나 에스테르화 전분], 전분·덱스트린이나 그 밖의 변성전분을 기본 재료로 한 글루(glue)"
35,3506,조제접착제,"조제 글루(glue)와 그 밖의 조제 접착제(따로 분류되지 않은 것으로 한정한다), 글루(glue)나 접착제로 사용하기에 적합한 물품[소매용으로 한 글루(glue)나 접착제로서 순중량이 1킬로그램 이하인 것으로 한정한다]"
35,3507,효소,효소와 따로 분류되지 않은 조제 효소
36,3601,화약,화약
36,3602,폭약,폭약(화약은 제외한다)
36,3603,점화용물품,"도화선, 도폭선, 뇌관, 점화기, 전기뇌관"
36,3604,불꽃제품,불꽃제품·신호용 조명탄·레인로켓·안개 신호용품과 그 밖의 화공품
36,3605,성냥,성냥(제3604호의 화공품은 제외한다)
36,3606,발화성합금·조제연료,"페로세륨·그 밖의 발화성 합금(어떤 모양이라도 가능하다), 
이 류의 주 제2호의 가연성 재료의 제품"
37,3701,평면상 필름,"평면 모양 사진플레이트·평면 모양 사진필름(감광성이 있고 노광하지 않은 것으로 한정하며, 종이·판지·직물로 만든 것은 제외한다), 평면 모양 인스턴트 프린트필름(감광성이 있고 노광하지 않은 것으로 한정하며, 팩으로 된 것인지에 상관없다)"
37,3702,롤상 필름,"롤 모양 사진필름(감광성이 있고 노광하지 않은 것으로 한정하며, 종이·판지·직물로 만든 것은 제외한다)과 롤 모양 인스턴트 프린트필름(감광성이 있고 노광하지 않은 것으로 한정한다)"
37,3703,사진인화지,사진 인화지·판지·직물(감광성이 있고 노광하지 않은 것으로 한정한다)
37,3704,노광한 필름,사진플레이트·필름·인화지·판지·직물(노광한 것으로서 현상하지 않은 것으로 한정한다)
37,3705,현상한 사진필름,"사진플레이트와 필름(노광하여 현상한 것으로 한정하며, 영화용 필름은 제외한다)"
37,3706,현상한 영화필름,"영화용 필름(노광하여 현상한 것으로 한정하며, 사운드트랙이 있는 것인지 또는 사운드트랙만으로 구성된 것인지에 상관없다)"
37,3707,사진용의 화학조제품,"사진용 화학조제품[바니시(varnish)·글루(glue)·접착제와 이와 유사한 조제품은 제외한다], 사진용 단일 물품(일정 소량으로 나누거나 그대로 사용할 수 있는 모양인 소매용으로 한정한다)"
38,3801,인조흑연,"인조흑연, 콜로이드흑연·반콜로이드흑연, 흑연이나 그 밖의 탄소를 기본 재료로 한 조제품[페이스트(paste)·블록·판 모양이나 그 밖의 반제품으로 한정한다]"
38,3802,활성탄,"활성탄, 활성화한 천연의 광물성 생산품, 수탄(獸炭)[폐수탄(廢獸炭)을 포함한다]"
38,3803,토올오일,톨유(tall oil)(정제한 것인지에 상관없다)
38,3804,펄프폐액,"목재펄프를 제조할 때 생기는 폐액(廢液)[농축한 것인지, 당류를 제거한 것인지 또는 화학적으로 처리한 것인지에 상관없으며 리그닌 술폰산을 포함하나, 제3803호의 톨유(tall oil)는 제외한다]"
38,3805,테르펜계유,"검테레빈유·우드테레빈유·황산테레빈유와 그 밖의 테르펜계유(증류나 그 밖의 방법에 따라 침엽수 목재에서 얻은 것으로 한정한다), 가공하지 않은 디펜틴, 아황산테레빈과 그 밖의 가공하지 않은 파라시멘, 파인유(pine oil)(주성분이 알파테르피네올인 것으로 한정한다)"
38,3806,로진과 수지산,"로진(rosin)·수지산과 이들의 유도체, 로진 스피릿(rosin spirit)과 로진유(rosin oil), 런검(run gum)"
38,3807,목타르,"목(木)타르, 목(木)타르유, 목(木)크레오소트(creosote), 목(木)나프타, 식물성 피치(pitch), 브루어피치(brewers' pitch)와 이와 유사한 조제품[로진(rosin)·수지산이나 식물성 피치(pitch)를 기본 재료로 한 것으로 한정한다]"
38,3808,소매용 살충제·제초제,살충제·살서제(쥐약)·살균제·제초제·발아억제제·식물성장조절제·소독제와 이와 유사한 물품[소매용 모양이나 포장을 한 것·조제품으로 한 것·제품으로 한 것(예: 황으로 처리한 밴드·심지·양초·파리잡이 끈끈이)으로 한정한다]
38,3809,섬유·제지·피혁용 완성가공제,"완성가공제, 염색 촉진용·염료 고착용 염색캐리어, 드레싱·매염제와 같은 그 밖의 물품과 조제품(섬유산업·제지산업·가죽산업 그 밖에 이와 유사한 산업에 사용하는 것으로서 따로 분류되지 않은 것으로 한정한다)"
38,3810,용접용 조제품,"금속표면처리용 침지 조제품, 납땜용·땜질용·용접용 융제와 그 밖의 보조 조제품, 납땜용·땜질용·용접용 가루와 페이스트(paste)로서 금속과 그 밖의 재료로 조성한 것, 용접용 전극·용접봉의 코어나 피복에 사용하는 조제품"
38,3811,안티녹제,안티녹(anti-knock)제·산화억제제·검화억제제(gum inhibitor)·점도향상제·부식방지제와 그 밖의 조제 첨가제[광물유(가솔린을 포함한다)용이나 광물유와 동일한 목적에 사용하는 그 밖의 액체용으로 한정한다]
38,3812,고무·플라스틱용 화학조제품,"조제한 고무가황촉진제, 고무용·플라스틱용 복합가소제(따로 분류되지 않은 것으로 한정한다), 고무용·플라스틱용 산화방지 조제품과 그 밖의 복합안정제"
38,3813,소화기용 조제품,"소화기용 조제품과 장전물, 장전된 소화탄"
38,3814,유기혼합용제와 신나,"유기혼합용제와 시너(thinner)(따로 분류되지 않은 것으로 한정한다), 조제한 페인트·바니시(varnish) 제거제"
38,3815,촉매조제품,반응시작제·반응촉진제·촉매 조제품(따로 분류되지 않은 것으로 한정한다)
38,3816,내화시멘트,"내화시멘트·내화모르타르·내화콘크리트와 이와 유사한 혼합물[백운석 래밍믹스(ramming mix)를 포함하며, 제3801호의 물품은 제외한다]"
38,3817,혼합알킬벤젠,혼합알킬벤젠과 혼합알킬나프탈렌(제2707호·제2902호의 물품은 제외한다)
38,3818,도프처리된 화학원소,"전자공업에 사용하기 위하여 도프처리된(doped) 화학원소(디스크·웨이퍼 모양이나 이와 유사한 모양으로 한정한다), 전자공업에 사용하기 위하여 도프처리된(doped) 화학화합물"
38,3819,유압전동액,유압제동액과 그 밖의 조제 유압전동액[석유나 역청유(瀝靑油)를 함유하지 않거나 석유나 역청유(瀝靑油)의 함유량이 전 중량의 100분의 70 미만인 것으로 한정한다]
38,3820,부동액,부동(不凍) 조제품과 조제 제빙액
38,3821,미생물 조제배양제,미생물(바이러스와 이와 유사한 것을 포함한다)·식물·인간·동물 세포의 성장이나 보존을 위한 조제 배양제
38,3822,"시약, 인증 표준물질","뒤편을 보강한 진단용·실험실용 시약과 뒷편을 보강하였거나 보강하지 않은 진단용·실험실용 조제시약(도구모음 형태로 된 것인지에 상관없으며, 제3006호의 물품은 제외한다), 인증 표준물질"
38,3823,공업용 지방산,"공업용 모노카르복시 지방산, 유지를 정제할 때 생긴 애시드유(acid oil), 공업용 지방성 알코올"
38,3824,기타 화학공업생산품,"조제 점결제(주물의 주형용이나 코어용으로 한정한다), 따로 분류되지 않은 화학품과 화학공업이나 연관공업에 따른 조제품(천연물만의 혼합물을 포함한다)"
38,3825,폐기물,"따로 분류되지 않은 화학공업이나 연관공업에 따른 잔재물, 생활폐기물, 하수 찌꺼기, 이 류의 주 제6호의 그 밖의 폐기물"
38,3826,바이오디젤,바이오디젤과 그 혼합물[석유나 역청유(瀝靑油)를 함유하지 않거나 중량기준으로 70 퍼센트 미만을 함유한 것으로 한정한다]
38,3827,CFC 혼합물,따로 분류되지 않은 메탄·에탄·프로판의 할로겐화 유도체를 함유한 혼합물
39,제1절 일차제품(primary form),,
39,3901,에틸렌,에틸렌의 중합체[일차제품(primary form)으로 한정한다]
39,3902,프로필렌,프로필렌의 중합체나 그 밖의 올레핀의 중합체[일차제품(primary form)으로 한정한다]
39,3903,스티렌,스티렌의 중합체[일차제품(primary form)으로 한정한다]
39,3904,염화비닐,염화비닐의 중합체나 그 밖의 할로겐화 올레핀의 중합체[일차제품(primary form)으로 한정한다]
39,3905,초산비닐,"초산비닐의 중합체나 그 밖의 비닐에스테르의 중합체, 그 밖의 비닐중합체[일차제품(primary form)으로 한정한다]"
39,3906,아크릴,아크릴의 중합체[일차제품(primary form)으로 한정한다]
39,3907,폴리에테르·폴리에스테르,"폴리아세탈수지·그 밖의 폴리에테르와 에폭시수지, 폴리카보네이트·알키드수지·폴리아릴에스테르와 그 밖의 폴리에스테르[일차제품(primary form)으로 한정한다]"
39,3908,폴리아미드,폴리아미드[일차제품(primary form)으로 한정한다]
39,3909,아미노수지·폴리우레탄,아미노수지·페놀수지·폴리우레탄[일차제품(primary form)으로 한정한다]
39,3910,실리콘수지,실리콘수지[일차제품(primary form)으로 한정한다]
39,3911,기타 합성수지,석유수지·쿠마론-인덴수지·폴리테르펜·폴리술파이드·폴리술폰과 이 류의 주 제3호의 기타 물품[일차제품(primary form)으로서 따로 분류되지 않은 것으로 한정한다]
39,3912,셀룰로스,셀룰로오스와 그 화학적 유도체[일차제품(primary form)으로서 따로 분류되지 않은 것으로 한정한다]
39,3913,천연중합체,"천연중합체(예: 알긴산)와 변성한 천연중합체(예: 경화 단백질, 천연고무의 화학적 유도체)[일차제품(primary form)으로서 따로 분류되지 않은 것으로 한정한다]"
39,3914,이온교환수지,이온교환수지[제3901호부터 제3913호까지의 중합체를 기본 재료로 한 것으로서 일차제품(primary form)으로 한정한다]
39,제2절 웨이스트(waste)·페어링(paring)·스크랩(scrap)과 반제품·완제품,,
39,3915,웨이스트,플라스틱의 웨이스트(waste)·페어링(paring)·스크랩(scrap)
